ID,Fecha,Recorrido,Porte,pesos,Kilometros,Combustible,Conductor,Mozo1,Mozo2,Ingresos diarios,Averia
68,2018-08-27 05:23:34,13/84,primer porte,12163,185,17,"['Laura', 'Sanchez']","['Laura', 'Sanchez']","['Laura', 'Sanchez']",6201,si
69,2017-08-15 15:44:36,13/82,segundo porte,5788,94,97,"['Luis', 'Gomez']","['Luis', 'Gomez']","['Luis', 'Gomez']",5217,no
70,2017-08-26 01:29:41,13/89,primer porte,5958,133,39,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",6561,no
71,2024-06-03 11:14:22,18/62,primer porte,14574,88,85,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",5911,si
72,2022-03-04 22:56:06,11/66,segundo porte,7483,122,57,"['Pedro', 'Gomez']","['Pedro', 'Gomez']","['Pedro', 'Gomez']",2250,si
73,2018-12-20 02:34:13,13/77,primer porte,6154,79,17,"['Pedro', 'Rodriguez']","['Pedro', 'Rodriguez']","['Pedro', 'Rodriguez']",9878,si
74,2020-06-30 16:47:29,13/76,primer porte,1523,27,22,"['Luis', 'Gomez']","['Luis', 'Gomez']","['Luis', 'Gomez']",3219,si
75,2020-01-04 06:00:53,13/71,primer porte,10120,104,81,"['Marta', 'Fernandez']","['Marta', 'Fernandez']","['Marta', 'Fernandez']",9235,no
76,2018-09-18 23:00:38,13/93,primer porte,11389,153,23,"['Maria', 'Perez']","['Maria', 'Perez']","['Maria', 'Perez']",2923,no
77,2018-01-28 18:22:51,17/54,segundo porte,62,166,74,"['Luis', 'Gomez']","['Luis', 'Gomez']","['Luis', 'Gomez']",2324,si
78,2024-06-03 23:27:26,11/63,segundo porte,9802,201,97,"['Luis', 'Garcia']","['Luis', 'Garcia']","['Luis', 'Garcia']",7697,si
79,2021-04-23 22:35:41,13/90,primer porte,5699,238,73,"['Carlos', 'Sanchez']","['Carlos', 'Sanchez']","['Carlos', 'Sanchez']",7524,no
80,2018-04-30 17:43:35,13/71,segundo porte,9880,140,18,"['Juan', 'Perez']","['Juan', 'Perez']","['Juan', 'Perez']",9964,no
81,2018-02-08 18:30:16,13/97,segundo porte,12160,107,37,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",4972,si
82,2026-09-27 03:59:29,02/100,segundo porte,1296,55,28,"['Marta', 'Sanchez']","['Marta', 'Sanchez']","['Marta', 'Sanchez']",5786,si
83,2022-03-26 06:25:13,13/93,segundo porte,11769,55,10,"['Luis', 'Fernandez']","['Luis', 'Fernandez']","['Luis', 'Fernandez']",8664,no
84,2018-07-16 01:26:03,13/68,primer porte,5595,148,81,"['Ana', 'Gomez']","['Ana', 'Gomez']","['Ana', 'Gomez']",4276,si
85,2023-01-19 22:38:44,17/53,primer porte,10019,155,59,"['Pedro', 'Perez']","['Pedro', 'Perez']","['Pedro', 'Perez']",6289,no
86,2024-08-12 20:16:53,17/55,primer porte,14408,34,27,"['Pedro', 'Martinez']","['Pedro', 'Martinez']","['Pedro', 'Martinez']",6199,si
87,2023-06-01 13:31:48,13/92,segundo porte,8472,30,84,"['Marta', 'Perez']","['Marta', 'Perez']","['Marta', 'Perez']",9209,no
88,2023-09-29 04:43:22,13/90,segundo porte,14353,151,59,"['Marta', 'Gomez']","['Marta', 'Gomez']","['Marta', 'Gomez']",4743,si
89,2021-10-22 08:30:11,02/98,primer porte,3548,203,57,"['Juan', 'Fernandez']","['Juan', 'Fernandez']","['Juan', 'Fernandez']",8452,si
90,2021-11-06 03:02:52,13/82,primer porte,10246,58,48,"['Maria', 'Rodriguez']","['Maria', 'Rodriguez']","['Maria', 'Rodriguez']",5541,si
91,2026-07-21 21:27:56,18/61,primer porte,8400,223,89,"['Luis', 'Perez']","['Luis', 'Perez']","['Luis', 'Perez']",6091,no
92,2025-10-23 18:01:14,13/93,segundo porte,2958,180,43,"['Pedro', 'Gomez']","['Pedro', 'Gomez']","['Pedro', 'Gomez']",5071,no
93,2018-10-07 18:02:27,13/97,segundo porte,5120,229,47,"['Laura', 'Fernandez']","['Laura', 'Fernandez']","['Laura', 'Fernandez']",6830,no
94,2018-09-27 14:34:55,13/82,primer porte,5323,35,79,"['Diego', 'Perez']","['Diego', 'Perez']","['Diego', 'Perez']",9796,si
95,2023-06-09 10:46:09,17/53,primer porte,14629,52,64,"['Marta', 'Lopez']","['Marta', 'Lopez']","['Marta', 'Lopez']",9443,si
96,2026-07-16 08:53:07,13/69,primer porte,432,46,86,"['Maria', 'Perez']","['Maria', 'Perez']","['Maria', 'Perez']",5577,no
97,2023-01-21 08:50:33,11/66,segundo porte,11825,33,16,"['Luis', 'Rodriguez']","['Luis', 'Rodriguez']","['Luis', 'Rodriguez']",2047,no
98,2019-04-18 06:40:08,13/95,segundo porte,4680,182,17,"['Sofia', 'Perez']","['Sofia', 'Perez']","['Sofia', 'Perez']",4983,si
99,2025-11-13 14:24:38,18/59,segundo porte,12065,229,72,"['Pedro', 'Rodriguez']","['Pedro', 'Rodriguez']","['Pedro', 'Rodriguez']",9154,si
100,2023-04-27 22:30:33,13/70,segundo porte,7083,81,41,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",8559,no
101,2018-03-04 17:09:38,13/75,segundo porte,13499,51,77,"['Diego', 'Rodriguez']","['Diego', 'Rodriguez']","['Diego', 'Rodriguez']",2604,si
102,2021-06-21 03:33:25,18/62,segundo porte,1745,37,64,"['Laura', 'Perez']","['Laura', 'Perez']","['Laura', 'Perez']",5826,si
103,2026-11-23 11:06:28,13/69,segundo porte,5995,193,29,"['Luis', 'Gomez']","['Luis', 'Gomez']","['Luis', 'Gomez']",7362,si
104,2019-09-10 16:33:21,13/79,primer porte,2254,64,21,"['Marta', 'Fernandez']","['Marta', 'Fernandez']","['Marta', 'Fernandez']",5861,si
105,2019-09-04 00:40:08,13/95,primer porte,10459,74,66,"['Ana', 'Perez']","['Ana', 'Perez']","['Ana', 'Perez']",2557,si
106,2017-07-30 20:26:43,02/100,primer porte,12715,105,93,"['Diego', 'Gomez']","['Diego', 'Gomez']","['Diego', 'Gomez']",8797,si
107,2019-03-09 14:50:08,02/100,primer porte,13729,208,11,"['Luis', 'Gomez']","['Luis', 'Gomez']","['Luis', 'Gomez']",4604,si
108,2020-01-16 20:00:04,13/84,primer porte,5198,209,78,"['Juan', 'Martinez']","['Juan', 'Martinez']","['Juan', 'Martinez']",7226,si
109,2020-10-28 18:22:18,02/98,primer porte,8762,153,46,"['Carlos', 'Perez']","['Carlos', 'Perez']","['Carlos', 'Perez']",3723,si
110,2023-10-31 01:25:06,13/78,primer porte,5191,107,63,"['Marta', 'Perez']","['Marta', 'Perez']","['Marta', 'Perez']",4533,si
111,2024-07-22 04:26:52,13/80,segundo porte,14340,194,76,"['Pedro', 'Lopez']","['Pedro', 'Lopez']","['Pedro', 'Lopez']",3606,no
112,2022-04-08 09:32:09,13/72,primer porte,11917,209,67,"['Laura', 'Garcia']","['Laura', 'Garcia']","['Laura', 'Garcia']",6544,no
113,2020-05-12 12:29:34,13/84,segundo porte,5924,169,43,"['Sofia', 'Perez']","['Sofia', 'Perez']","['Sofia', 'Perez']",9011,si
114,2021-05-22 09:24:48,17/56,segundo porte,14110,73,91,"['Ana', 'Gomez']","['Ana', 'Gomez']","['Ana', 'Gomez']",7209,si
115,2025-01-14 10:13:40,13/82,segundo porte,6302,179,63,"['Juan', 'Perez']","['Juan', 'Perez']","['Juan', 'Perez']",9515,si
116,2022-05-20 09:18:17,18/62,primer porte,12030,34,24,"['Carlos', 'Perez']","['Carlos', 'Perez']","['Carlos', 'Perez']",2943,si
117,2025-05-28 18:32:25,13/84,segundo porte,6912,234,45,"['Diego', 'Perez']","['Diego', 'Perez']","['Diego', 'Perez']",7835,si
118,2020-11-24 14:32:41,13/70,segundo porte,9945,213,25,"['Luis', 'Martinez']","['Luis', 'Martinez']","['Luis', 'Martinez']",2846,si
119,2023-09-08 11:34:31,13/75,segundo porte,536,32,61,"['Ana', 'Perez']","['Ana', 'Perez']","['Ana', 'Perez']",8109,si
120,2019-03-02 02:10:09,17/56,segundo porte,3986,181,93,"['Laura', 'Martinez']","['Laura', 'Martinez']","['Laura', 'Martinez']",2701,si
121,2025-07-04 01:56:47,17/57,primer porte,14287,237,72,"['Diego', 'Martinez']","['Diego', 'Martinez']","['Diego', 'Martinez']",6120,no
122,2026-05-08 10:14:30,13/95,primer porte,9378,213,44,"['Pedro', 'Perez']","['Pedro', 'Perez']","['Pedro', 'Perez']",9137,si
123,2023-12-08 05:21:44,13/89,segundo porte,3129,152,82,"['Ana', 'Perez']","['Ana', 'Perez']","['Ana', 'Perez']",7298,no
124,2020-10-14 23:16:35,13/69,primer porte,7052,229,86,"['Carlos', 'Garcia']","['Carlos', 'Garcia']","['Carlos', 'Garcia']",4615,si
125,2019-04-16 06:48:30,13/71,primer porte,8500,204,42,"['Laura', 'Gomez']","['Laura', 'Gomez']","['Laura', 'Gomez']",2386,si
126,2020-11-14 18:58:31,13/93,segundo porte,10681,139,52,"['Diego', 'Rodriguez']","['Diego', 'Rodriguez']","['Diego', 'Rodriguez']",6645,no
127,2020-06-09 06:51:21,11/63,segundo porte,4982,51,88,"['Carlos', 'Gomez']","['Carlos', 'Gomez']","['Carlos', 'Gomez']",6047,si
128,2019-01-23 03:28:49,13/68,primer porte,673,224,97,"['Diego', 'Garcia']","['Diego', 'Garcia']","['Diego', 'Garcia']",6198,si
129,2019-09-15 09:10:11,13/69,segundo porte,6388,229,98,"['Carlos', 'Rodriguez']","['Carlos', 'Rodriguez']","['Carlos', 'Rodriguez']",9468,no
130,2019-11-02 22:30:39,13/85,primer porte,3336,104,88,"['Laura', 'Garcia']","['Laura', 'Garcia']","['Laura', 'Garcia']",9689,si
131,2023-02-02 01:01:43,13/97,primer porte,13927,61,17,"['Carlos', 'Martinez']","['Carlos', 'Martinez']","['Carlos', 'Martinez']",4375,si
132,2022-06-23 02:24:51,13/84,segundo porte,3632,107,37,"['Carlos', 'Gomez']","['Carlos', 'Gomez']","['Carlos', 'Gomez']",5777,no
133,2023-03-02 04:55:19,13/81,primer porte,6607,31,80,"['Carlos', 'Garcia']","['Carlos', 'Garcia']","['Carlos', 'Garcia']",3261,si
134,2020-04-21 12:48:27,13/70,segundo porte,6278,54,22,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",2815,si
135,2026-04-03 11:06:13,13/85,primer porte,10485,162,27,"['Marta', 'Rodriguez']","['Marta', 'Rodriguez']","['Marta', 'Rodriguez']",9903,no
136,2024-08-15 09:13:35,11/67,primer porte,11541,104,65,"['Juan', 'Lopez']","['Juan', 'Lopez']","['Juan', 'Lopez']",7402,no
137,2018-10-11 18:56:18,11/63,primer porte,12839,195,13,"['Luis', 'Rodriguez']","['Luis', 'Rodriguez']","['Luis', 'Rodriguez']",2135,no
138,2021-05-02 11:02:59,13/76,primer porte,3995,146,11,"['Carlos', 'Gomez']","['Carlos', 'Gomez']","['Carlos', 'Gomez']",6515,no
139,2024-07-30 10:45:21,11/64,segundo porte,3808,218,40,"['Marta', 'Fernandez']","['Marta', 'Fernandez']","['Marta', 'Fernandez']",2844,no
140,2022-01-23 17:00:14,13/75,segundo porte,5459,196,27,"['Luis', 'Perez']","['Luis', 'Perez']","['Luis', 'Perez']",6019,no
141,2026-05-28 11:19:57,13/97,primer porte,2354,89,61,"['Ana', 'Sanchez']","['Ana', 'Sanchez']","['Ana', 'Sanchez']",9697,no
142,2019-07-22 03:02:28,13/82,segundo porte,13030,33,40,"['Marta', 'Gomez']","['Marta', 'Gomez']","['Marta', 'Gomez']",2588,no
143,2023-07-29 02:59:06,13/75,primer porte,645,145,74,"['Sofia', 'Fernandez']","['Sofia', 'Fernandez']","['Sofia', 'Fernandez']",7789,si
144,2025-09-26 03:21:44,18/62,segundo porte,10090,53,23,"['Laura', 'Martinez']","['Laura', 'Martinez']","['Laura', 'Martinez']",3467,no
145,2017-09-24 04:08:37,13/74,segundo porte,10990,130,56,"['Maria', 'Sanchez']","['Maria', 'Sanchez']","['Maria', 'Sanchez']",9900,si
146,2022-05-02 01:46:41,11/64,segundo porte,4320,121,74,"['Juan', 'Perez']","['Juan', 'Perez']","['Juan', 'Perez']",5342,si
147,2019-03-11 13:31:10,17/57,primer porte,9401,94,21,"['Marta', 'Perez']","['Marta', 'Perez']","['Marta', 'Perez']",8060,si
148,2026-12-05 03:54:03,13/85,segundo porte,8638,74,33,"['Ana', 'Fernandez']","['Ana', 'Fernandez']","['Ana', 'Fernandez']",4063,no
149,2022-09-08 10:40:45,11/63,segundo porte,8884,103,79,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",7967,no
150,2018-12-31 23:49:10,13/69,primer porte,10155,118,65,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",4446,no
151,2026-07-17 10:53:46,13/89,segundo porte,13097,107,12,"['Maria', 'Lopez']","['Maria', 'Lopez']","['Maria', 'Lopez']",3763,si
152,2019-07-21 02:19:19,13/89,segundo porte,10976,217,34,"['Pedro', 'Gomez']","['Pedro', 'Gomez']","['Pedro', 'Gomez']",5817,no
153,2021-10-31 06:02:57,13/85,segundo porte,4156,235,68,"['Ana', 'Sanchez']","['Ana', 'Sanchez']","['Ana', 'Sanchez']",9255,si
154,2025-11-04 13:21:24,13/71,primer porte,11976,182,95,"['Sofia', 'Perez']","['Sofia', 'Perez']","['Sofia', 'Perez']",6522,si
155,2022-04-26 06:23:06,13/97,segundo porte,6894,116,15,"['Maria', 'Gomez']","['Maria', 'Gomez']","['Maria', 'Gomez']",3622,si
156,2026-08-22 14:06:59,13/88,primer porte,5437,232,86,"['Luis', 'Martinez']","['Luis', 'Martinez']","['Luis', 'Martinez']",9023,no
157,2026-03-23 06:56:23,13/86,primer porte,4571,239,34,"['Sofia', 'Garcia']","['Sofia', 'Garcia']","['Sofia', 'Garcia']",3373,si
158,2023-03-31 11:45:17,13/69,primer porte,4800,103,43,"['Pedro', 'Martinez']","['Pedro', 'Martinez']","['Pedro', 'Martinez']",7442,si
159,2018-08-29 05:44:35,11/66,primer porte,5666,230,60,"['Ana', 'Rodriguez']","['Ana', 'Rodriguez']","['Ana', 'Rodriguez']",4994,si
160,2019-09-01 20:05:48,13/68,segundo porte,3330,215,48,"['Pedro', 'Perez']","['Pedro', 'Perez']","['Pedro', 'Perez']",5191,si
161,2023-02-12 11:57:37,11/63,primer porte,7338,180,62,"['Ana', 'Gomez']","['Ana', 'Gomez']","['Ana', 'Gomez']",5985,si
162,2018-02-25 17:56:12,18/59,segundo porte,1340,74,56,"['Ana', 'Fernandez']","['Ana', 'Fernandez']","['Ana', 'Fernandez']",9873,no
163,2018-05-17 22:51:13,13/88,primer porte,7982,134,57,"['Diego', 'Lopez']","['Diego', 'Lopez']","['Diego', 'Lopez']",2991,si
164,2024-06-27 19:01:28,13/74,primer porte,12000,225,82,"['Luis', 'Rodriguez']","['Luis', 'Rodriguez']","['Luis', 'Rodriguez']",2698,no
165,2019-09-25 17:31:26,02/100,segundo porte,10751,209,15,"['Maria', 'Garcia']","['Maria', 'Garcia']","['Maria', 'Garcia']",3162,si
166,2025-10-22 06:19:49,11/64,segundo porte,3678,66,97,"['Diego', 'Gomez']","['Diego', 'Gomez']","['Diego', 'Gomez']",3862,no
167,2025-07-27 17:34:08,13/87,segundo porte,7822,206,72,"['Maria', 'Perez']","['Maria', 'Perez']","['Maria', 'Perez']",6664,si
168,2020-03-27 10:25:18,13/73,primer porte,1802,220,13,"['Luis', 'Martinez']","['Luis', 'Martinez']","['Luis', 'Martinez']",3907,si
169,2022-03-06 02:24:14,13/68,primer porte,14901,148,98,"['Sofia', 'Perez']","['Sofia', 'Perez']","['Sofia', 'Perez']",5672,si
170,2025-03-03 14:04:06,13/84,primer porte,14649,218,47,"['Sofia', 'Sanchez']","['Sofia', 'Sanchez']","['Sofia', 'Sanchez']",7444,no
171,2021-12-18 05:47:06,13/90,segundo porte,6527,34,56,"['Sofia', 'Gomez']","['Sofia', 'Gomez']","['Sofia', 'Gomez']",8848,si
172,2021-09-29 17:53:32,13/81,segundo porte,8929,213,13,"['Luis', 'Perez']","['Luis', 'Perez']","['Luis', 'Perez']",8061,no
173,2018-12-22 15:01:41,13/90,primer porte,3579,242,42,"['Maria', 'Gomez']","['Maria', 'Gomez']","['Maria', 'Gomez']",2579,no
174,2019-04-27 07:39:10,11/64,primer porte,7036,220,41,"['Carlos', 'Rodriguez']","['Carlos', 'Rodriguez']","['Carlos', 'Rodriguez']",3195,si
175,2018-10-03 23:12:35,13/73,primer porte,5756,142,18,"['Marta', 'Rodriguez']","['Marta', 'Rodriguez']","['Marta', 'Rodriguez']",2436,no
176,2025-04-21 19:16:06,18/61,primer porte,3009,84,65,"['Diego', 'Rodriguez']","['Diego', 'Rodriguez']","['Diego', 'Rodriguez']",9079,no
177,2020-04-10 13:25:14,13/91,segundo porte,7716,161,90,"['Ana', 'Garcia']","['Ana', 'Garcia']","['Ana', 'Garcia']",3492,no
